Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
4,2,300,100,0.55,38,23,15,24,0.62,0.38,0.7169811320754716,0.48936170212765956,0.5106382978723404,0.6229508196721312
5,2,300,100,0.55,34,21,13,32,0.66,0.34,0.723404255319149,0.39622641509433965,0.6037735849056604,0.6181818181818182
6,2,300,100,0.55,28,29,17,26,0.54,0.46,0.6222222222222222,0.5272727272727272,0.4727272727272727,0.49122807017543857
7,2,300,100,0.55,32,28,20,20,0.52,0.48,0.6153846153846154,0.5833333333333334,0.4166666666666667,0.5333333333333333
8,2,300,100,0.55,35,21,26,18,0.53,0.47,0.5737704918032787,0.5384615384615384,0.46153846153846156,0.625
9,2,300,100,0.55,29,23,14,34,0.63,0.37,0.6744186046511628,0.40350877192982454,0.5964912280701754,0.5576923076923077
0,2,300,100,0.6,7,4,45,44,0.51,0.49,0.1346153846153846,0.08333333333333333,0.9166666666666666,0.6363636363636364
1,2,300,100,0.6,35,29,15,21,0.56,0.44,0.7,0.58,0.42,0.546875
2,2,300,100,0.6,41,28,9,22,0.63,0.37,0.82,0.56,0.44,0.5942028985507246
3,2,300,100,0.6,19,11,37,33,0.52,0.48,0.3392857142857143,0.25,0.75,0.6333333333333333
4,2,300,100,0.6,27,29,17,27,0.54,0.46,0.6136363636363636,0.5178571428571429,0.48214285714285715,0.48214285714285715
5,2,300,100,0.6,16,13,35,36,0.52,0.48,0.3137254901960784,0.2653061224489796,0.7346938775510204,0.5517241379310345
6,2,300,100,0.6,11,14,31,44,0.55,0.45,0.2619047619047619,0.2413793103448276,0.7586206896551724,0.44
7,2,300,100,0.6,39,34,8,19,0.58,0.42,0.8297872340425532,0.6415094339622641,0.3584905660377358,0.5342465753424658
8,2,300,100,0.6,26,9,30,35,0.61,0.39,0.4642857142857143,0.20454545454545456,0.7954545454545454,0.7428571428571429
9,2,300,100,0.6,31,16,20,33,0.64,0.36,0.6078431372549019,0.32653061224489793,0.673469387755102,0.6595744680851063
0,2,300,100,0.65,35,30,13,22,0.57,0.43,0.7291666666666666,0.5769230769230769,0.4230769230769231,0.5384615384615384
1,2,300,100,0.65,20,12,28,40,0.6,0.4,0.4166666666666667,0.23076923076923078,0.7692307692307693,0.625
2,2,300,100,0.65,14,8,38,40,0.54,0.46,0.2692307692307692,0.16666666666666666,0.8333333333333334,0.6363636363636364
3,2,300,100,0.65,24,29,20,27,0.51,0.49,0.5454545454545454,0.5178571428571429,0.48214285714285715,0.4528301886792453
4,2,300,100,0.65,38,44,5,13,0.51,0.49,0.8837209302325582,0.7719298245614035,0.22807017543859648,0.4634146341463415
5,2,300,100,0.65,21,18,25,36,0.57,0.43,0.45652173913043476,0.3333333333333333,0.6666666666666666,0.5384615384615384
6,2,300,100,0.65,43,35,8,14,0.57,0.43,0.8431372549019608,0.7142857142857143,0.2857142857142857,0.5512820512820513
7,2,300,100,0.65,50,19,12,19,0.69,0.31,0.8064516129032258,0.5,0.5,0.7246376811594203
8,2,300,100,0.65,11,4,37,48,0.59,0.41,0.22916666666666666,0.07692307692307693,0.9230769230769231,0.7333333333333333
9,2,300,100,0.65,20,20,23,37,0.57,0.43,0.46511627906976744,0.3508771929824561,0.6491228070175439,0.5
0,2,300,100,0.7,37,20,17,26,0.63,0.37,0.6851851851851852,0.43478260869565216,0.5652173913043478,0.6491228070175439
1,2,300,100,0.7,21,13,28,38,0.59,0.41,0.42857142857142855,0.2549019607843137,0.7450980392156863,0.6176470588235294
2,2,300,100,0.7,21,12,30,37,0.58,0.42,0.4117647058823529,0.24489795918367346,0.7551020408163265,0.6363636363636364
3,2,300,100,0.7,15,16,24,45,0.6,0.4,0.38461538461538464,0.26229508196721313,0.7377049180327869,0.4838709677419355
4,2,300,100,0.7,12,5,33,50,0.62,0.38,0.26666666666666666,0.09090909090909091,0.9090909090909091,0.7058823529411765
5,2,300,100,0.7,51,23,14,12,0.63,0.37,0.7846153846153846,0.6571428571428571,0.34285714285714286,0.6891891891891891
6,2,300,100,0.7,32,33,9,26,0.58,0.42,0.7804878048780488,0.559322033898305,0.4406779661016949,0.49230769230769234
7,2,300,100,0.7,34,36,14,16,0.5,0.5,0.7083333333333334,0.6923076923076923,0.3076923076923077,0.4857142857142857
8,2,300,100,0.7,28,16,28,28,0.56,0.44,0.5,0.36363636363636365,0.6363636363636364,0.6363636363636364
9,2,300,100,0.7,43,28,9,20,0.63,0.37,0.8269230769230769,0.5833333333333334,0.4166666666666667,0.6056338028169014
0,2,300,100,0.75,20,13,24,43,0.63,0.37,0.45454545454545453,0.23214285714285715,0.7678571428571429,0.6060606060606061
1,2,300,100,0.75,25,21,23,31,0.56,0.44,0.5208333333333334,0.40384615384615385,0.5961538461538461,0.5434782608695652
2,2,300,100,0.75,43,39,1,17,0.6,0.4,0.9772727272727273,0.6964285714285714,0.30357142857142855,0.524390243902439
3,2,300,100,0.75,34,35,9,22,0.56,0.44,0.7906976744186046,0.6140350877192983,0.38596491228070173,0.4927536231884058
4,2,300,100,0.75,31,13,27,29,0.6,0.4,0.5344827586206896,0.30952380952380953,0.6904761904761905,0.7045454545454546
5,2,300,100,0.75,35,21,24,20,0.55,0.45,0.5932203389830508,0.5121951219512195,0.4878048780487805,0.625
6,2,300,100,0.75,32,18,26,24,0.56,0.44,0.5517241379310345,0.42857142857142855,0.5714285714285714,0.64
7,2,300,100,0.75,23,16,29,32,0.55,0.45,0.4423076923076923,0.3333333333333333,0.6666666666666666,0.5897435897435898
8,2,300,100,0.75,32,19,21,28,0.6,0.4,0.6037735849056604,0.40425531914893614,0.5957446808510638,0.6274509803921569
9,2,300,100,0.75,19,18,20,43,0.62,0.38,0.48717948717948717,0.29508196721311475,0.7049180327868853,0.5135135135135135
0,2,300,100,0.8,36,30,13,21,0.57,0.43,0.7346938775510204,0.5882352941176471,0.4117647058823529,0.5454545454545454
1,2,300,100,0.8,12,8,24,56,0.68,0.32,0.3333333333333333,0.125,0.875,0.6
2,2,300,100,0.8,36,31,16,17,0.53,0.47,0.6923076923076923,0.6458333333333334,0.3541666666666667,0.5373134328358209
3,2,300,100,0.8,29,31,17,23,0.52,0.48,0.6304347826086957,0.5740740740740741,0.42592592592592593,0.48333333333333334
4,2,300,100,0.8,26,19,26,29,0.55,0.45,0.5,0.3958333333333333,0.6041666666666666,0.5777777777777777
5,2,300,100,0.8,40,37,9,14,0.54,0.46,0.8163265306122449,0.7254901960784313,0.27450980392156865,0.5194805194805194
6,2,300,100,0.8,33,26,15,26,0.59,0.41,0.6875,0.5,0.5,0.559322033898305
7,2,300,100,0.8,34,31,12,23,0.57,0.43,0.7391304347826086,0.5740740740740741,0.42592592592592593,0.5230769230769231
8,2,300,100,0.8,22,35,22,21,0.43,0.57,0.5,0.625,0.375,0.38596491228070173
9,2,300,100,0.8,28,31,10,31,0.59,0.41,0.7368421052631579,0.5,0.5,0.4745762711864407
0,2,300,100,0.85,35,18,26,21,0.56,0.44,0.5737704918032787,0.46153846153846156,0.5384615384615384,0.660377358490566
1,2,300,100,0.85,35,26,21,18,0.53,0.47,0.625,0.5909090909090909,0.4090909090909091,0.5737704918032787
2,2,300,100,0.85,15,9,39,37,0.52,0.48,0.2777777777777778,0.1956521739130435,0.8043478260869565,0.625
3,2,300,100,0.85,19,8,37,36,0.55,0.45,0.3392857142857143,0.18181818181818182,0.8181818181818182,0.7037037037037037
4,2,300,100,0.85,17,16,28,39,0.56,0.44,0.37777777777777777,0.2909090909090909,0.7090909090909091,0.5151515151515151
5,2,300,100,0.85,31,15,26,28,0.59,0.41,0.543859649122807,0.3488372093023256,0.6511627906976745,0.6739130434782609
6,2,300,100,0.85,44,27,14,15,0.59,0.41,0.7586206896551724,0.6428571428571429,0.35714285714285715,0.6197183098591549
7,2,300,100,0.85,27,27,20,26,0.53,0.47,0.574468085106383,0.5094339622641509,0.49056603773584906,0.5
8,2,300,100,0.85,14,14,34,38,0.52,0.48,0.2916666666666667,0.2692307692307692,0.7307692307692307,0.5
