TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
24,1,50,11,0.399188020892,0.0573600833091155
0,1,500,11,0.273250371033,0.038166782565245874
1,1,500,11,0.26528608701,0.04112112348683222
2,1,500,11,0.269362974074,0.03743320774262497
3,1,500,11,0.267494937688,0.03807191724291378
4,1,500,11,0.266440034894,0.038518173253149796
5,1,500,11,0.267157034066,0.03898552229905114
6,1,500,11,0.270274685946,0.03676838911090587
7,1,500,11,0.268712737771,0.03810803099907579
8,1,500,11,0.266779505341,0.038631689746243585
9,1,500,11,0.266457957295,0.03468321953373155
10,1,500,11,0.268361139115,0.034909604668642465
11,1,500,11,0.274007224742,0.03598437873513018
12,1,500,11,0.268478129729,0.03591620133961043
13,1,500,11,0.269118701641,0.03770490023460066
14,1,500,11,0.267415213296,0.03952197570952638
15,1,500,11,0.270510615598,0.035982872100568
16,1,500,11,0.265926628702,0.03597755228451661
17,1,500,11,0.27327934307,0.037128131099371096
18,1,500,11,0.268385002171,0.03717864866327597
19,1,500,11,0.266407844183,0.03803631428466022
20,1,500,11,0.264922945164,0.03678864237393276
21,1,500,11,0.268600200203,0.03697532919275604
22,1,500,11,0.269976184491,0.037598099940868206
23,1,500,11,0.265121865346,0.03913486868254763
24,1,500,11,0.268721144585,0.036189814757446724
0,1,5,12,0.690821489909,0.1406561016525751
1,1,5,12,0.624988686575,0.09850031114897287
2,1,5,12,0.664588054828,0.14015403635906637
3,1,5,12,0.630587828293,0.09692157243022717
4,1,5,12,0.638726744364,0.09348056636684673
5,1,5,12,0.66172054677,0.18013827537692992
6,1,5,12,0.807108062478,0.11409250842174433
7,1,5,12,0.698630214524,0.03707876793488542
8,1,5,12,0.721431379742,0.14059570699872795
9,1,5,12,0.736717017261,0.1000069085735915
10,1,5,12,0.691985806965,0.1387644193125145
11,1,5,12,0.614315556079,0.12331731926618233
12,1,5,12,0.642117536193,0.17326071501704965
13,1,5,12,0.721508719674,0.09124006920150811
14,1,5,12,0.743345224806,0.1057856453886988
15,1,5,12,0.634258044546,0.115452784473318
16,1,5,12,0.699194122081,0.0845946864940643
17,1,5,12,0.739975216467,0.06515744869850709
18,1,5,12,0.619375165361,0.15852870058220714
19,1,5,12,0.722911790363,0.0714317824294224
20,1,5,12,0.72728016065,0.11272715593651327
21,1,5,12,0.807241658174,0.05458664881062344
22,1,5,12,0.693809677564,0.05343035994279986
23,1,5,12,0.641855882757,0.10046804995246764
24,1,5,12,0.627095058274,0.12008017998882638
0,1,50,12,0.424170510749,0.05111218414000783
1,1,50,12,0.391842789776,0.06463246429963886
2,1,50,12,0.393038963573,0.06737290722129259
3,1,50,12,0.397341554749,0.06736932191283197
4,1,50,12,0.409194360734,0.05985630316329315
5,1,50,12,0.399942261316,0.06023732910203774
6,1,50,12,0.415764163896,0.05681746670750075
7,1,50,12,0.40483508438,0.05558714550773099
8,1,50,12,0.417299139477,0.06599514115282377
9,1,50,12,0.395578190931,0.058261798818543584
10,1,50,12,0.432843981278,0.05201917003578114
