TrialNumber,Metric,NormalizationMetric,K,N,Mean,StandardDeviation
6,1,1,5,5,0.47937943976,0.1045727471735685
6,1,2,5,5,0.448454988625,0.23887041247503005
6,1,inf,5,5,0.533766677852,0.04828800301126049
7,1,1,5,5,0.667779563125,0.09431456204382312
7,1,2,5,5,0.643974012989,0.10022188520058617
7,1,inf,5,5,0.634608060003,0.07288524122185482
8,1,1,5,5,0.476715632381,0.11421943106575
8,1,2,5,5,0.428914967403,0.24148556459114592
8,1,inf,5,5,0.485388311135,0.17185421780705046
9,1,1,5,5,0.684883502078,0.07548408559884634
9,1,2,5,5,0.597774681887,0.0532676078364091
9,1,inf,5,5,0.610801815764,0.055491899756870994
0,1,1,50,5,0.26698319145,0.08351566506874458
0,1,2,50,5,0.251166560097,0.06724568430627924
0,1,inf,50,5,0.246884487992,0.08106375548313807
1,1,1,50,5,0.289672065863,0.06822693101372222
1,1,2,50,5,0.256711471049,0.08018026518588574
1,1,inf,50,5,0.267960855705,0.07657483870482582
2,1,1,50,5,0.265750382427,0.08146447977349479
2,1,2,50,5,0.241615027275,0.06847246158274459
2,1,inf,50,5,0.257652533485,0.08229742733619923
3,1,1,50,5,0.254430928891,0.091414029296224
3,1,2,50,5,0.258396927262,0.07339444905569097
3,1,inf,50,5,0.279410226957,0.0772679464755917
4,1,1,50,5,0.27124806431,0.08263872014241454
4,1,2,50,5,0.2851996107,0.08573225369341594
4,1,inf,50,5,0.267479219477,0.0748829992854967
5,1,1,50,5,0.257721270495,0.08900433132072191
5,1,2,50,5,0.244823792662,0.06961512066979367
5,1,inf,50,5,0.260975337856,0.0827531245996798
6,1,1,50,5,0.267997304645,0.0732343020087019
6,1,2,50,5,0.262129732487,0.07479340010442326
6,1,inf,50,5,0.254217583823,0.07968358000880342
7,1,1,50,5,0.284260532708,0.08467806415073456
7,1,2,50,5,0.288549898847,0.0612385993438201
7,1,inf,50,5,0.255390036807,0.08761324108397613
8,1,1,50,5,0.259390968188,0.07762168488359333
8,1,2,50,5,0.270080040144,0.0664122904909555
8,1,inf,50,5,0.256114714597,0.07619560408755062
9,1,1,50,5,0.285307109065,0.082475812552731
9,1,2,50,5,0.266467702625,0.06729123249101421
9,1,inf,50,5,0.267305366434,0.08789614634313783
0,1,1,500,5,0.150948308205,0.041730543396546735
0,1,2,500,5,0.151558815112,0.04193831520961279
0,1,inf,500,5,0.148425487822,0.04310199324357801
1,1,1,500,5,0.151514317121,0.04274485261416769
1,1,2,500,5,0.148690617731,0.042628960939415324
1,1,inf,500,5,0.148677382252,0.04534689072776405
2,1,1,500,5,0.149643083453,0.04659803406959533
2,1,2,500,5,0.151046985738,0.04433960296680677
2,1,inf,500,5,0.150539322639,0.04644216023091091
3,1,1,500,5,0.152488161213,0.04142989952489341
3,1,2,500,5,0.146365980562,0.04649036536649708
3,1,inf,500,5,0.148146639371,0.04425509544862589
4,1,1,500,5,0.149209313536,0.045454551623689644
4,1,2,500,5,0.14985285368,0.043419545397078534
4,1,inf,500,5,0.151985385284,0.04407932658612776
5,1,1,500,5,0.147962031623,0.04217531777427987
5,1,2,500,5,0.151573841183,0.044725353436488056
5,1,inf,500,5,0.154872547404,0.04401880292960001
6,1,1,500,5,0.151861694483,0.04227612708828791
6,1,2,500,5,0.150538522316,0.04445480710417146
6,1,inf,500,5,0.150974877968,0.043405958536290076
7,1,1,500,5,0.153698854108,0.04263835866589478
7,1,2,500,5,0.149397324532,0.04535028909342015
7,1,inf,500,5,0.150862773804,0.04277543797603602
8,1,1,500,5,0.152201020673,0.04444321728357768
8,1,2,500,5,0.149603651192,0.04410023686531382
8,1,inf,500,5,0.149530186527,0.04659923712809734
9,1,1,500,5,0.145998370513,0.043884941503731956
9,1,2,500,5,0.147444779375,0.04605594490372392
9,1,inf,500,5,0.149809454586,0.044352286307564354
0,1,1,5,6,0.613138182634,0.15900374662084404
0,1,2,5,6,0.575435595521,0.13061237144078183
0,1,inf,5,6,0.617231810109,0.18840744041122695
1,1,1,5,6,0.553251881323,0.21974707623900103
1,1,2,5,6,0.535264161634,0.12050065886298086
1,1,inf,5,6,0.609934228232,0.23028001230944117
2,1,1,5,6,0.616729468717,0.11540230642826597
2,1,2,5,6,0.604360905468,0.15756132805802886
2,1,inf,5,6,0.634583098208,0.11846737610405152
3,1,1,5,6,0.583757458732,0.16328006726005914
3,1,2,5,6,0.638152763239,0.06532801566309887
3,1,inf,5,6,0.760131224309,0.09454966868137968
4,1,1,5,6,0.626876536002,0.2561639532654275
4,1,2,5,6,0.657398390931,0.10151231090247635
4,1,inf,5,6,0.46864663422,0.23399928694649674
5,1,1,5,6,0.509866607859,0.04069560673783779
5,1,2,5,6,0.553621779814,0.2603413162955064
5,1,inf,5,6,0.545388910039,0.18502969304283204
6,1,1,5,6,0.697000538937,0.13687864091505736
6,1,2,5,6,0.526065869527,0.18177378473709446
6,1,inf,5,6,0.685349903642,0.13578860075923394
7,1,1,5,6,0.69168937712,0.08190626199890061
7,1,2,5,6,0.523337374257,0.20444473442551603
7,1,inf,5,6,0.537516626177,0.039394717355114586
8,1,1,5,6,0.49430949662,0.20357852547347569
8,1,2,5,6,0.586244659396,0.2078226599591479
8,1,inf,5,6,0.636196629243,0.20583023370417308
9,1,1,5,6,0.654383997898,0.08229765593749098
9,1,2,5,6,0.682366022078,0.08454320472557658
9,1,inf,5,6,0.592067323276,0.2016776881385683
0,1,1,50,6,0.292082698775,0.07640195727630546
0,1,2,50,6,0.318262096326,0.05759393246227431
0,1,inf,50,6,0.299502589943,0.07792582282777236
1,1,1,50,6,0.313151724422,0.07552958766754257
1,1,2,50,6,0.325014104428,0.06582235117765343
1,1,inf,50,6,0.297712616626,0.054353530411270036
2,1,1,50,6,0.31181217627,0.05844292604207924
2,1,2,50,6,0.294508757354,0.07020315972833498
2,1,inf,50,6,0.319216659732,0.07396658549277596
3,1,1,50,6,0.317885357342,0.07223278389546167
3,1,2,50,6,0.316091287632,0.07637704135149254
3,1,inf,50,6,0.30090169168,0.07944768433048123
4,1,1,50,6,0.323825774322,0.07233308364418117
4,1,2,50,6,0.317344588523,0.07606315857947449
4,1,inf,50,6,0.312733853986,0.05708462684704249
5,1,1,50,6,0.309047621959,0.06276910076195151
5,1,2,50,6,0.324609239854,0.07821805117083268
5,1,inf,50,6,0.31817913561,0.07503579134531829
6,1,1,50,6,0.311403624865,0.07615175382921015
6,1,2,50,6,0.326209176288,0.06179616675759622
6,1,inf,50,6,0.322759326357,0.06866259949697788
7,1,1,50,6,0.307195012288,0.08390849516418915
7,1,2,50,6,0.301935610509,0.07150281058904995
7,1,inf,50,6,0.294378917445,0.06244636435943687
8,1,1,50,6,0.322279888539,0.07088850001473566
8,1,2,50,6,0.312832188461,0.07809257853779383
8,1,inf,50,6,0.329428952676,0.08183958227666455
9,1,1,50,6,0.3056624942,0.07325354657708856
9,1,2,50,6,0.292332841209,0.08012814309161743
9,1,inf,50,6,0.309751379492,0.06498927909616581
0,1,1,500,6,0.188244539855,0.0505873404089147
0,1,2,500,6,0.192472068808,0.04817592632994713
0,1,inf,500,6,0.19419868861,0.04708022826110435
1,1,1,500,6,0.192735925493,0.047168087883887704
1,1,2,500,6,0.193960554985,0.043357335783840344
1,1,inf,500,6,0.191112870733,0.04692859524838431
2,1,1,500,6,0.194496849918,0.04514439227666199
2,1,2,500,6,0.191800181874,0.04739849079453943
2,1,inf,500,6,0.191234168471,0.04676637203734525
3,1,1,500,6,0.194755487199,0.04655236907668739
3,1,2,500,6,0.190883900368,0.04948002681930758
3,1,inf,500,6,0.188619411121,0.047806510391609505
4,1,1,500,6,0.190885062696,0.044133274913925706
4,1,2,500,6,0.194973540429,0.04760705568067577
4,1,inf,500,6,0.187855344002,0.04836786420146591
5,1,1,500,6,0.188963689903,0.045598377613310904
5,1,2,500,6,0.192173792175,0.04600464113279527
5,1,inf,500,6,0.18865784724,0.05052361641756911
6,1,1,500,6,0.18909357986,0.0495043911238623
6,1,2,500,6,0.191603894412,0.045098864867420305
6,1,inf,500,6,0.19397285102,0.046140193043233836
7,1,1,500,6,0.192779511573,0.04670567543987896
7,1,2,500,6,0.18866530451,0.04846268315708647
7,1,inf,500,6,0.191111675661,0.047412044729762
8,1,1,500,6,0.194737349957,0.04753327110206919
8,1,2,500,6,0.194423372751,0.045715142374311686
8,1,inf,500,6,0.186160310687,0.05325399528393326
9,1,1,500,6,0.188917836396,0.04924068985832324
9,1,2,500,6,0.191581151103,0.04818855376783687
9,1,inf,500,6,0.187911027302,0.04426934505512218
0,1,1,5,7,0.58790827814,0.0595901209619183
0,1,2,5,7,0.708903052198,0.0983309651666861
0,1,inf,5,7,0.651780499368,0.05621253969497143
1,1,1,5,7,0.680739912914,0.09598709737175566
1,1,2,5,7,0.654101706954,0.0525570746211617
1,1,inf,5,7,0.606909952894,0.10219918348677949
2,1,1,5,7,0.630323852024,0.0828242699518685
2,1,2,5,7,0.678160828935,0.048261781035438836
